,size,median,p-Val,treatment
422,30.0,1.0,1.0,Sign Test
423,30.0,1.0,1.0,Sign Test
424,30.0,1.0,1.0,Sign Test
425,30.0,1.0,1.0,Sign Test
426,30.0,1.0,1.0,Sign Test
427,30.0,1.0,1.0,Sign Test
428,30.0,1.0,1.0,Sign Test
429,30.0,1.0,1.0,Sign Test
430,30.0,1.0,1.0,Sign Test
431,30.0,1.0,1.0,Sign Test
432,30.0,1.0,1.0,Sign Test
433,30.0,1.0,1.0,Sign Test
434,30.0,1.0,1.0,Sign Test
435,30.0,1.0,1.0,Sign Test
436,30.0,1.0,1.0,Sign Test
437,30.0,1.0,1.0,Sign Test
438,30.0,1.0,1.0,Sign Test
439,30.0,1.0,1.0,Sign Test
440,30.0,1.0,1.0,Sign Test
441,30.0,1.0,1.0,Sign Test
442,30.0,1.0,1.0,Sign Test
443,30.0,1.0,1.0,Sign Test
444,30.0,1.0,1.0,Sign Test
445,30.0,1.0,1.0,Sign Test
446,30.0,1.0,1.0,Sign Test
447,30.0,1.0,1.0,Sign Test
448,30.0,1.0,1.0,Sign Test
449,30.0,1.0,1.0,Sign Test
450,30.0,1.0,1.0,Sign Test
451,30.0,1.0,1.0,Sign Test
452,30.0,1.0,1.0,Sign Test
453,30.0,1.0,1.0,Sign Test
454,30.0,1.0,1.0,Sign Test
455,30.0,1.0,1.0,Sign Test
456,30.0,1.0,1.0,Sign Test
457,30.0,1.0,1.0,Sign Test
458,30.0,1.0,1.0,Sign Test
459,30.0,1.0,1.0,Sign Test
460,30.0,1.0,1.0,Sign Test
461,30.0,1.0,1.0,Sign Test
462,30.0,1.0,1.0,Sign Test
463,30.0,1.0,1.0,Sign Test
464,30.0,1.0,1.0,Sign Test
465,30.0,1.0,1.0,Sign Test
466,30.0,1.0,1.0,Sign Test
467,30.0,1.0,1.0,Sign Test
468,30.0,1.0,1.0,Sign Test
469,30.0,1.0,1.0,Sign Test
470,30.0,1.0,1.0,Sign Test
471,30.0,1.0,1.0,Sign Test
472,30.0,1.0,1.0,Sign Test
473,30.0,1.0,1.0,Sign Test
474,30.0,1.0,1.0,Sign Test
475,30.0,1.0,1.0,Sign Test
476,30.0,1.0,1.0,Sign Test
477,30.0,1.0,1.0,Sign Test
478,30.0,1.0,1.0,Sign Test
479,30.0,1.0,1.0,Sign Test
480,30.0,1.0,1.0,Sign Test
481,30.0,1.0,1.0,Sign Test
482,30.0,1.0,1.0,Sign Test
483,30.0,1.0,1.0,Sign Test
484,30.0,1.0,1.0,Sign Test
485,30.0,1.0,1.0,Sign Test
486,30.0,1.0,1.0,Sign Test
487,30.0,1.0,1.0,Sign Test
488,30.0,1.0,1.0,Sign Test
489,30.0,1.0,1.0,Sign Test
490,30.0,1.0,1.0,Sign Test
491,30.0,1.0,1.0,Sign Test
492,30.0,1.0,0.9999999990686774,Sign Test
493,30.0,1.0,1.0,Sign Test
494,30.0,1.0,1.0,Sign Test
495,30.0,1.0,1.0,Sign Test
496,30.0,1.0,1.0,Sign Test
497,30.0,1.0,1.0,Sign Test
498,30.0,1.0,1.0,Sign Test
499,30.0,1.0,1.0,Sign Test
500,30.0,1.0,1.0,Sign Test
501,30.0,1.0,1.0,Sign Test
502,30.0,1.0,1.0,Sign Test
503,30.0,1.0,1.0,Sign Test
504,30.0,1.0,1.0,Sign Test
505,30.0,1.0,1.0,Sign Test
506,30.0,1.0,1.0,Sign Test
507,30.0,1.0,1.0,Sign Test
508,30.0,1.0,1.0,Sign Test
509,30.0,1.0,1.0,Sign Test
510,30.0,1.0,1.0,Sign Test
511,30.0,1.0,1.0,Sign Test
512,30.0,1.0,1.0,Sign Test
513,30.0,1.0,1.0,Sign Test
514,30.0,1.0,1.0,Sign Test
515,30.0,1.0,1.0,Sign Test
516,30.0,1.0,1.0,Sign Test
517,30.0,1.0,1.0,Sign Test
518,30.0,1.0,1.0,Sign Test
519,30.0,1.0,1.0,Sign Test
520,30.0,1.0,1.0,Sign Test
521,30.0,1.0,1.0,Sign Test
522,30.0,1.0,1.0,Sign Test
523,30.0,1.0,1.0,Sign Test
524,30.0,1.0,1.0,Sign Test
525,30.0,1.0,1.0,Sign Test
526,30.0,1.0,1.0,Sign Test
527,30.0,1.0,1.0,Sign Test
528,30.0,1.0,1.0,Sign Test
529,30.0,1.0,1.0,Sign Test
530,30.0,1.0,1.0,Sign Test
531,30.0,1.0,1.0,Sign Test
532,30.0,1.0,1.0,Sign Test
533,30.0,1.0,1.0,Sign Test
534,30.0,1.0,1.0,Sign Test
535,30.0,1.0,1.0,Sign Test
536,30.0,1.0,1.0,Sign Test
537,30.0,1.0,1.0,Sign Test
538,30.0,1.0,1.0,Sign Test
539,30.0,1.0,1.0,Sign Test
540,30.0,1.0,1.0,Sign Test
541,30.0,1.0,1.0,Sign Test
542,30.0,1.0,1.0,Sign Test
543,30.0,1.0,1.0,Sign Test
544,30.0,1.0,1.0,Sign Test
545,30.0,1.0,1.0,Sign Test
546,30.0,1.0,1.0,Sign Test
547,30.0,1.0,1.0,Sign Test
548,30.0,1.0,1.0,Sign Test
549,30.0,1.0,1.0,Sign Test
550,30.0,1.0,1.0,Sign Test
551,30.0,1.0,1.0,Sign Test
552,30.0,1.0,1.0,Sign Test
553,30.0,1.0,1.0,Sign Test
554,30.0,1.0,1.0,Sign Test
555,30.0,1.0,1.0,Sign Test
556,30.0,1.0,1.0,Sign Test
557,30.0,1.0,1.0,Sign Test
558,30.0,1.0,1.0,Sign Test
559,30.0,1.0,1.0,Sign Test
560,30.0,1.0,1.0,Sign Test
561,30.0,1.0,1.0,Sign Test
562,30.0,1.0,1.0,Sign Test
563,30.0,1.0,1.0,Sign Test
564,30.0,1.0,1.0,Sign Test
565,30.0,1.0,1.0,Sign Test
566,30.0,1.0,1.0,Sign Test
567,30.0,1.0,1.0,Sign Test
568,30.0,1.0,1.0,Sign Test
569,30.0,1.0,1.0,Sign Test
570,30.0,1.0,1.0,Sign Test
571,30.0,1.0,1.0,Sign Test
572,30.0,1.0,1.0,Sign Test
573,30.0,1.0,1.0,Sign Test
574,30.0,1.0,1.0,Sign Test
575,30.0,1.0,1.0,Sign Test
576,30.0,1.0,1.0,Sign Test
577,30.0,1.0,1.0,Sign Test
578,30.0,1.0,1.0,Sign Test
579,30.0,1.0,1.0,Sign Test
580,30.0,1.0,1.0,Sign Test
581,30.0,1.0,1.0,Sign Test
582,30.0,1.0,1.0,Sign Test
583,30.0,1.0,1.0,Sign Test
584,30.0,1.0,1.0,Sign Test
585,30.0,1.0,1.0,Sign Test
586,30.0,1.0,1.0,Sign Test
587,30.0,1.0,1.0,Sign Test
588,30.0,1.0,1.0,Sign Test
589,30.0,1.0,1.0,Sign Test
590,30.0,1.0,1.0,Sign Test
591,30.0,1.0,1.0,Sign Test
592,30.0,1.0,1.0,Sign Test
593,30.0,1.0,1.0,Sign Test
594,30.0,1.0,1.0,Sign Test
595,30.0,1.0,1.0,Sign Test
596,30.0,1.0,1.0,Sign Test
597,30.0,1.0,1.0,Sign Test
598,30.0,1.0,1.0,Sign Test
599,30.0,1.0,1.0,Sign Test
600,30.0,1.0,1.0,Sign Test
601,30.0,1.0,1.0,Sign Test
602,30.0,1.0,1.0,Sign Test
603,30.0,1.0,1.0,Sign Test
604,30.0,1.0,1.0,Sign Test
605,30.0,1.0,1.0,Sign Test
606,30.0,1.0,1.0,Sign Test
607,30.0,1.0,1.0,Sign Test
608,30.0,1.0,1.0,Sign Test
609,30.0,1.0,1.0,Sign Test
610,30.0,1.0,1.0,Sign Test
611,30.0,1.0,1.0,Sign Test
612,30.0,1.0,1.0,Sign Test
613,30.0,1.0,1.0,Sign Test
614,30.0,1.0,1.0,Sign Test
615,30.0,1.0,1.0,Sign Test
616,30.0,1.0,1.0,Sign Test
617,30.0,1.0,1.0,Sign Test
618,30.0,1.0,1.0,Sign Test
619,30.0,1.0,1.0,Sign Test
620,30.0,1.0,1.0,Sign Test
621,30.0,1.0,1.0,Sign Test
622,30.0,1.0,1.0,Sign Test
623,30.0,1.0,1.0,Sign Test
624,30.0,1.0,1.0,Sign Test
625,30.0,1.0,1.0,Sign Test
626,30.0,1.0,1.0,Sign Test
627,30.0,1.0,1.0,Sign Test
628,30.0,1.0,1.0,Sign Test
629,30.0,1.0,1.0,Sign Test
630,30.0,1.0,1.0,Sign Test
631,30.0,1.0,1.0,Sign Test
632,30.0,1.0,1.0,Sign Test
633,30.0,1.0,1.0,Sign Test
634,30.0,1.0,1.0,Sign Test
635,30.0,1.0,1.0,Sign Test
636,30.0,1.0,1.0,Sign Test
637,30.0,1.0,1.0,Sign Test
638,30.0,1.0,1.0,Sign Test
639,30.0,1.0,1.0,Sign Test
640,30.0,1.0,1.0,Sign Test
641,30.0,1.0,1.0,Sign Test
642,30.0,1.0,1.0,Sign Test
643,30.0,1.0,1.0,Sign Test
644,30.0,1.0,1.0,Sign Test
645,30.0,1.0,1.0,Sign Test
646,30.0,1.0,1.0,Sign Test
647,30.0,1.0,1.0,Sign Test
648,30.0,1.0,1.0,Sign Test
649,30.0,1.0,1.0,Sign Test
650,30.0,1.0,1.0,Sign Test
651,30.0,1.0,1.0,Sign Test
652,30.0,1.0,1.0,Sign Test
653,30.0,1.0,1.0,Sign Test
654,30.0,1.0,1.0,Sign Test
655,30.0,1.0,1.0,Sign Test
656,30.0,1.0,1.0,Sign Test
657,30.0,1.0,1.0,Sign Test
658,30.0,1.0,1.0,Sign Test
659,30.0,1.0,1.0,Sign Test
660,30.0,1.0,1.0,Sign Test
661,30.0,1.0,1.0,Sign Test
662,30.0,1.0,1.0,Sign Test
663,30.0,1.0,1.0,Sign Test
664,30.0,1.0,1.0,Sign Test
665,30.0,1.0,1.0,Sign Test
666,30.0,1.0,1.0,Sign Test
667,30.0,1.0,1.0,Sign Test
668,30.0,1.0,1.0,Sign Test
669,30.0,1.0,1.0,Sign Test
670,30.0,1.0,1.0,Sign Test
671,30.0,1.0,1.0,Sign Test
672,30.0,1.0,1.0,Sign Test
673,30.0,1.0,1.0,Sign Test
674,30.0,1.0,1.0,Sign Test
675,30.0,1.0,1.0,Sign Test
676,30.0,1.0,1.0,Sign Test
677,30.0,1.0,1.0,Sign Test
678,30.0,1.0,1.0,Sign Test
679,30.0,1.0,1.0,Sign Test
680,30.0,1.0,1.0,Sign Test
681,30.0,1.0,1.0,Sign Test
682,30.0,1.0,1.0,Sign Test
683,30.0,1.0,1.0,Sign Test
684,30.0,1.0,1.0,Sign Test
685,30.0,1.0,1.0,Sign Test
686,30.0,1.0,1.0,Sign Test
687,30.0,1.0,1.0,Sign Test
688,30.0,1.0,1.0,Sign Test
689,30.0,1.0,1.0,Sign Test
690,30.0,1.0,1.0,Sign Test
691,30.0,1.0,1.0,Sign Test
692,30.0,1.0,1.0,Sign Test
693,30.0,1.0,1.0,Sign Test
694,30.0,1.0,1.0,Sign Test
695,30.0,1.0,1.0,Sign Test
